  1 2 3 4 5 6
M0001 = 2 1 4 3 5 6
M0002 = 2 4 1 5 3 6
M0003 = 4 2 5 1 3 6
M0004 = 4 5 2 3 1 6
M0005 = 5 4 3 2 1 6
M0006 = 5 3 4 1 2 6
M0007 = 3 5 1 4 2 6
M0008 = 3 1 5 2 4 6
M0009 = 1 3 2 5 4 6
M0010 = 1 2 3 5 4 6
M0011 = 2 1 5 3 4 6
M0012 = 2 5 1 4 3 6
M0013 = 5 2 4 1 3 6
M0014 = 5 4 2 3 1 6
M0015 = 4 5 3 2 1 6
M0016 = 4 3 5 1 2 6
M0017 = 3 4 1 5 2 6
M0018 = 3 1 4 2 5 6
M0019 = 1 3 2 4 5 6
M0020 = 1 3 4 2 5 6
M0021 = 3 1 2 4 5 6
M0022 = 3 2 1 5 4 6
M0023 = 2 3 5 1 4 6
M0024 = 2 5 3 4 1 6
M0025 = 5 2 4 3 1 6
M0026 = 5 4 2 1 3 6
M0027 = 4 5 1 2 3 6
M0028 = 4 1 5 3 2 6
M0029 = 1 4 3 5 2 6
M0030 = 1 4 5 3 2 6
M0031 = 4 1 3 5 2 6
M0032 = 4 3 1 2 5 6
M0033 = 3 4 2 1 5 6
M0034 = 3 2 4 5 1 6
M0035 = 2 3 5 4 1 6
M0036 = 2 5 3 1 4 6
M0037 = 5 2 1 3 4 6
M0038 = 5 1 2 4 3 6
M0039 = 1 5 4 2 3 6
M0040 = 1 5 2 4 3 6
M0041 = 5 1 4 2 3 6
M0042 = 5 4 1 3 2 6
M0043 = 4 5 3 1 2 6
M0044 = 4 3 5 2 1 6
M0045 = 3 4 2 5 1 6
M0046 = 3 2 4 1 5 6
M0047 = 2 3 1 4 5 6
M0048 = 2 1 3 5 4 6
M0049 = 1 2 5 3 4 6
M0050 = 1 5 2 3 4 6
M0051 = 5 1 3 2 4 6
M0052 = 5 3 1 4 2 6
M0053 = 3 5 4 1 2 6
M0054 = 3 4 5 2 1 6
M0055 = 4 3 2 5 1 6
M0056 = 4 2 3 1 5 6
M0057 = 2 4 1 3 5 6
M0058 = 2 1 4 5 3 6
M0059 = 1 2 5 4 3 6
M0060 = 1 2 4 5 3 6
M0061 = 2 1 5 4 3 6
M0062 = 2 5 1 3 4 6
M0063 = 5 2 3 1 4 6
M0064 = 5 3 2 4 1 6
M0065 = 3 5 4 2 1 6
M0066 = 3 4 5 1 2 6
M0067 = 4 3 1 5 2 6
M0068 = 4 1 3 2 5 6
M0069 = 1 4 2 3 5 6
M0070 = 1 4 3 2 5 6
M0071 = 4 1 2 3 5 6
M0072 = 4 2 1 5 3 6
M0073 = 2 4 5 1 3 6
M0074 = 2 5 4 3 1 6
M0075 = 5 2 3 4 1 6
M0076 = 5 3 2 1 4 6
M0077 = 3 5 1 2 4 6
M0078 = 3 1 5 4 2 6
M0079 = 1 3 4 5 2 6
M0080 = 1 3 5 4 2 6
M0081 = 3 1 4 5 2 6
M0082 = 3 4 1 2 5 6
M0083 = 4 3 2 1 5 6
M0084 = 4 2 3 5 1 6
M0085 = 2 4 5 3 1 6
M0086 = 2 5 4 1 3 6
M0087 = 5 2 1 4 3 6
M0088 = 5 1 2 3 4 6
M0089 = 1 5 3 2 4 6
M0090 = 1 3 5 2 4 6
M0091 = 3 1 2 5 4 6
M0092 = 3 2 1 4 5 6
M0093 = 2 3 4 1 5 6
M0094 = 2 4 3 5 1 6
M0095 = 4 2 5 3 1 6
M0096 = 4 5 2 1 3 6
M0097 = 5 4 1 2 3 6
M0098 = 5 1 4 3 2 6
M0099 = 1 5 3 4 2 6
M0100 = 1 5 4 3 2 6
M0101 = 5 1 3 4 2 6
M0102 = 5 3 1 2 4 6
M0103 = 3 5 2 1 4 6
M0104 = 3 2 5 4 1 6
M0105 = 2 3 4 5 1 6
M0106 = 2 4 3 1 5 6
M0107 = 4 2 1 3 5 6
M0108 = 4 1 2 5 3 6
M0109 = 1 4 5 2 3 6
M0110 = 1 4 2 5 3 6
M0111 = 4 1 5 2 3 6
M0112 = 4 5 1 3 2 6
M0113 = 5 4 3 1 2 6
M0114 = 5 3 4 2 1 6
M0115 = 3 5 2 4 1 6
M0116 = 3 2 5 1 4 6
M0117 = 2 3 1 5 4 6
M0118 = 2 1 3 4 5 6
M0119 = 1 2 4 3 5 6
M0120 = 1 2 3 4 5 6
